pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw,date
232.0,11477.0,-44.9,-49.3,95.0,50.0,-49.80973490458728,4.357787137382911,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
226.0,11653.0,-46.1,-49.9,94.0,53.0,-52.870894663770684,3.6970931084386427,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
216.0,11954.0,-48.1,-56.1,92.0,57.0,-56.96527714008846,1.9892713120425545,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
200.0,12460.0,-51.5,-60.5,90.0,64.0,-64.0,-3.91886975727153e-15,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
198.0,12525.0,-52.1,-62.1,90.0,64.0,-64.0,-3.91886975727153e-15,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
185.0,12957.0,-56.1,-62.1,90.0,63.0,-63.0,-3.857637417314163e-15,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
150.0,14250.0,-66.5,-75.5,90.0,61.0,-61.0,-3.7351727373994275e-15,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
139.0,14706.0,-69.2,-79.2,80.0,53.0,-52.194810909647025,-9.203353416347312,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
130.0,15106.0,-71.5,-82.5,80.0,43.0,-42.34673337952494,-7.466871639678008,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
126.0,15287.0,-73.0,-83.4,80.0,38.0,-37.42269461446391,-6.5986307513433555,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
111.0,16022.0,-78.9,-86.9,55.0,34.0,-27.85116950582572,-19.50159883593557,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
108.0,16179.0,-78.2,-87.0,60.0,40.0,-34.64101615137754,-20.000000000000004,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
102.0,16507.0,-76.8,-87.2,75.0,49.0,-47.33036548816435,-12.682133210023515,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
100.0,16620.0,-76.3,-87.3,75.0,48.0,-46.36443966187528,-12.423314164920995,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
93.5,17011.0,-73.5,-87.5,95.0,25.0,-24.90486745229364,2.1788935686914557,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
92.0,17104.0,-74.0,-87.9,100.0,20.0,-19.69615506024416,3.472963553338606,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
83.0,17700.0,-76.8,-90.1,210.0,11.0,5.500000000000001,9.526279441628825,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
79.4,17957.0,-78.1,-91.1,260.0,8.0,7.878462024097664,1.3891854213354426,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
79.0,17986.0,-78.0,-91.1,275.0,7.0,6.973362886642219,-0.6100901992336052,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
75.0,18284.0,-77.5,-91.4,280.0,15.0,14.772116295183121,-2.6047226650039494,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
70.0,18680.0,-76.7,-91.7,300.0,28.0,24.24871130596428,-14.000000000000004,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
66.6,18966.0,-77.7,-92.7,308.0,20.0,15.760215072134436,-12.31322950651317,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
